GEO_ID,NAME,S2704_C01_001E
37001,"Alamance County, North Carolina",159436
37003,"Alexander County, North Carolina",35838
37005,"Alleghany County, North Carolina",10850
37007,"Anson County, North Carolina",23522
37009,"Ashe County, North Carolina",26523
37011,"Avery County, North Carolina",15019
37013,"Beaufort County, North Carolina",46872
37015,"Bertie County, North Carolina",18355
37017,"Bladen County, North Carolina",33495
37019,"Brunswick County, North Carolina",125893
37021,"Buncombe County, North Carolina",250737
37023,"Burke County, North Carolina",87354
37025,"Cabarrus County, North Carolina",200057
37027,"Caldwell County, North Carolina",80953
37029,"Camden County, North Carolina",10303
37031,"Carteret County, North Carolina",67464
37033,"Caswell County, North Carolina",21862
37035,"Catawba County, North Carolina",155210
37037,"Chatham County, North Carolina",69132
37039,"Cherokee County, North Carolina",27377
37041,"Chowan County, North Carolina",13943
37043,"Clay County, North Carolina",10787
37045,"Cleveland County, North Carolina",96923
37047,"Columbus County, North Carolina",53391
37049,"Craven County, North Carolina",95269
37051,"Cumberland County, North Carolina",301654
37053,"Currituck County, North Carolina",25369
37055,"Dare County, North Carolina",35552
37057,"Davidson County, North Carolina",162851
37059,"Davie County, North Carolina",41666
37061,"Duplin County, North Carolina",58660
37063,"Durham County, North Carolina",300915
37065,"Edgecombe County, North Carolina",52689
37067,"Forsyth County, North Carolina",368426
37069,"Franklin County, North Carolina",63973
37071,"Gaston County, North Carolina",214551
37073,"Gates County, North Carolina",11488
37075,"Graham County, North Carolina",8445
37077,"Granville County, North Carolina",56111
37079,"Greene County, North Carolina",18693
37081,"Guilford County, North Carolina",519628
37083,"Halifax County, North Carolina",50388
37085,"Harnett County, North Carolina",124420
37087,"Haywood County, North Carolina",59959
37089,"Henderson County, North Carolina",112521
37091,"Hertford County, North Carolina",22668
37093,"Hoke County, North Carolina",49129
37095,"Hyde County, North Carolina",4764
37097,"Iredell County, North Carolina",171349
37099,"Jackson County, North Carolina",42044
37101,"Johnston County, North Carolina",189560
37103,"Jones County, North Carolina",9628
37105,"Lee County, North Carolina",59036
37107,"Lenoir County, North Carolina",56047
37109,"Lincoln County, North Carolina",80832
37111,"McDowell County, North Carolina",44205
37113,"Macon County, North Carolina",34214
37115,"Madison County, North Carolina",21170
37117,"Martin County, North Carolina",22902
37119,"Mecklenburg County, North Carolina",1049025
37121,"Mitchell County, North Carolina",14928
37123,"Montgomery County, North Carolina",26227
37125,"Moore County, North Carolina",92497
37127,"Nash County, North Carolina",92708
37129,"New Hanover County, North Carolina",221731
37131,"Northampton County, North Carolina",19359
37133,"Onslow County, North Carolina",155873
37135,"Orange County, North Carolina",142298
37137,"Pamlico County, North Carolina",12045
37139,"Pasquotank County, North Carolina",38028
37141,"Pender County, North Carolina",57446
37143,"Perquimans County, North Carolina",13305
37145,"Person County, North Carolina",38867
37147,"Pitt County, North Carolina",176263
37149,"Polk County, North Carolina",20167
37151,"Randolph County, North Carolina",141697
37153,"Richmond County, North Carolina",43806
37155,"Robeson County, North Carolina",131714
37157,"Rockingham County, North Carolina",90156
37159,"Rowan County, North Carolina",137263
37161,"Rutherford County, North Carolina",65558
37163,"Sampson County, North Carolina",62900
37165,"Scotland County, North Carolina",33225
37167,"Stanly County, North Carolina",59742
37169,"Stokes County, North Carolina",45435
37171,"Surry County, North Carolina",71299
37173,"Swain County, North Carolina",14074
37175,"Transylvania County, North Carolina",33038
37177,"Tyrrell County, North Carolina",3425
37179,"Union County, North Carolina",225679
37181,"Vance County, North Carolina",44050
37183,"Wake County, North Carolina",1038477
37185,"Warren County, North Carolina",19127
37187,"Washington County, North Carolina",11994
37189,"Watauga County, North Carolina",53782
37191,"Wayne County, North Carolina",119941
37193,"Wilkes County, North Carolina",67660
37195,"Wilson County, North Carolina",80243
37197,"Yadkin County, North Carolina",37387
37199,"Yancey County, North Carolina",17520
